,category,category2,href,title
0,運動,NBA,https://sports.ettoday.net/news/1613902,Damian Lillard 全新鞋款Dame 6　RUTHLESS冷酷無情
1,運動,NBA,https://sports.ettoday.net/news/1613869,唐西奇生涯前100場數據追上「大O」　難忘與柯瑞...
2,運動,NBA,https://sports.ettoday.net/news/1613854,馬大偉運彩解盤／NBA太陽@拓荒者　挺莊買拓荒者
3,運動,NBA,https://sports.ettoday.net/news/1613757,7呎約基奇2次背後運球「靈巧如控衛」　金塊一哥...
4,運動,NBA,https://sports.ettoday.net/news/1613737,哈登本季首度缺陣　少了鬍子的球隊勝率還是超過5成
5,運動,NBA,https://sports.ettoday.net/news/1613668,唐西奇聽到Kobe說他家鄉話好驚訝　黑曼巴當攝影...
6,運動,NBA,https://sports.ettoday.net/news/1613686,球二哥有球隊了　加入雷霆發展聯盟擔任練習生
7,運動,NBA,https://sports.ettoday.net/news/1613601,Kobe坐鎮洛城！詹皇9000助攻達標　唐西奇背部重...
8,運動,NBA,https://sports.ettoday.net/news/1613567,活塞幹籃哥又傷了　葛瑞芬左膝不適恐高掛免戰牌
9,運動,NBA,https://sports.ettoday.net/news/1613533,哈登、衛少掛免戰牌　球哥博爾27分10籃板8助攻宰...
10,運動,NBA,https://sports.ettoday.net/news/1613481,雷霆小將致勝拋投砍32分　亞歷山大閃耀家鄉多倫...
11,運動,NBA,https://sports.ettoday.net/news/1613381,詹皇奪美聯社近10年最佳男運動員　坦承想超賈霸...
12,運動,SBL、WSBL,https://sports.ettoday.net/news/1613971,SBL／上半季賽程已過半　「單洋將效應」影響大
13,運動,SBL、WSBL,https://sports.ettoday.net/news/1613929,SBL／新賽制最大變革　台啤再拿兩勝將令九太上半...
14,運動,SBL、WSBL,https://sports.ettoday.net/news/1613900,SBL／桃園巨蛋來接棒　上半季最終賽程全在這
15,運動,SBL、WSBL,https://sports.ettoday.net/news/1613280,SBL／巴克利自稱紀律嚴格　來台還沒喝過台啤
16,運動,SBL、WSBL,https://sports.ettoday.net/news/1613291,SBL／防守拚勁換上場時間　簡偉儒7顆外線飆21分...
17,運動,SBL、WSBL,https://sports.ettoday.net/news/1613283,SBL／高健益帶傷飆16分　台銀投丟36外線「打鐵之...
18,運動,MLB,https://sports.ettoday.net/news/1613866,大聯盟10年工作經驗　王偉成在清華大學經驗分享
19,運動,MLB,https://sports.ettoday.net/news/1613589,崔志萬繳出生涯年　讓光芒對筒香嘉智更有信心
20,運動,MLB,https://sports.ettoday.net/news/1613473,2009年經典賽前10名潛力球星　金廣鉉最後一個抵...
21,運動,中職,https://sports.ettoday.net/news/1613937,中職／林智勝重返50萬俱樂部　總人數恐無法再創紀錄
22,運動,中職,https://sports.ettoday.net/news/1613887,中職／詹子賢今年打擊爆發　明年月薪破30萬
23,運動,中職,https://sports.ettoday.net/news/1613838,中職／王威晨確定加薪　明年月薪拚30萬
24,運動,中職,https://sports.ettoday.net/news/1613848,中職／富邦悍將3日辦洪總加盟儀式　宣布新的教練...
25,運動,中職,https://sports.ettoday.net/news/1613841,中職／四隊都邀請過　克魯茲剩統一獅沒待過
26,運動,中職,https://sports.ettoday.net/news/1613792,中職／樂天元年補強教練團　劉玠廷：人先補齊才...
27,運動,中職,https://sports.ettoday.net/news/1613765,中職／二軍投手群龐大　桃猿盼外籍投教分擔林敬...
28,運動,中職,https://sports.ettoday.net/news/1613774,中職／穿樂天重回前東家桃猿　林英傑：緣份太巧妙
29,運動,中職,https://sports.ettoday.net/news/1613720,中職／桃猿榮幸邀請！克魯茲1月中報到待完春訓
30,運動,中職,https://sports.ettoday.net/news/1613713,中職／找劉榮華擔任二軍教頭　樂天桃猿：多方推薦
31,運動,中職,https://sports.ettoday.net/news/1613580,中職／樂天教練團沒有他們　吳俊良、郭建霖轉投富邦
32,運動,中職,https://sports.ettoday.net/news/1613565,中職／林英傑擔任樂天桃猿牛棚教練　劉榮華二軍...
33,運動,中職,https://sports.ettoday.net/news/1613557,中職／樂天桃猿教練團確定！克魯茲任客座　另有...
34,運動,日、韓職,https://sports.ettoday.net/news/1613738,日職／近10年最強非日人　陳偉殷、陽岱鋼、許銘...
35,運動,日、韓職,https://sports.ettoday.net/news/1613696,日職／日媒預測王柏融扛5棒DH　明年火線成長關鍵
36,運動,日、韓職,https://sports.ettoday.net/news/1613589,崔志萬繳出生涯年　讓光芒對筒香嘉智更有信心
37,運動,日、韓職,https://sports.ettoday.net/news/1613518,日職／比周東佑京更會盜　阪神植田海希望有更多...
38,運動,日、韓職,https://sports.ettoday.net/news/1613473,2009年經典賽前10名潛力球星　金廣鉉最後一個抵...
39,運動,國內業餘,https://sports.ettoday.net/news/1613955,新北U18／從平鎮轉學禁聯賽　張宇辰珍惜舞台打擊...
40,運動,國內業餘,https://sports.ettoday.net/news/1613908,中日會長盃／美濃落敗要學態度　日本監督盛讚新明
41,運動,國內業餘,https://sports.ettoday.net/news/1613849,新北U18／逸信・阿娜斯國小練田徑　棄野從投關鍵...
42,運動,國內業餘,https://sports.ettoday.net/news/1613828,新北U18／因雨7局裁定勝　新竹市將與新北藍爭冠
43,運動,國內業餘,https://sports.ettoday.net/news/1613657,新北U18／林岳谷生涯首支再見安打　凝重氛圍壓過...
44,運動,國內業餘,https://sports.ettoday.net/news/1613629,新北U18／新北藍四強賽差點翻船　教頭動怒講重話
45,運動,國際動態,https://sports.ettoday.net/news/1613345,德甲拜仁慕尼黑急刪文　「中華民國國旗+五星旗」...
46,運動,技擊、球類,https://sports.ettoday.net/news/1613612,小威廉斯獲10年最佳女運動員　拜爾絲制霸2019
47,運動,陸上、水上,https://sports.ettoday.net/news/1613748,東奧射箭國手第二階段選拔持續龍頭　林佳恩使出...
48,運動,陸上、水上,https://sports.ettoday.net/news/1613692,企聯射箭／彭家楙難得黑色洋裝顯氣質　獲兩冠卻...
49,運動,陸上、水上,https://sports.ettoday.net/news/1613663,企聯射箭／寒舍演逆轉秀摘元年冠軍　明年再提升...
50,寵物動物,,http://pets.ettoday.net/news/1613706,貓咪偷球球...店員不驅趕！　將「打造球池」邀浪浪玩耍
51,寵物動物,,http://pets.ettoday.net/news/1613700,倉鼠鬼打牆、喵皇優雅找路　「鏡子迷宮比賽」結局超意外！
52,寵物動物,,http://pets.ettoday.net/news/1613571,歐告「誠懇臉」盯30分求散步　媽無奈喊：外面下雨，看我沒用啊
53,寵物動物,,http://pets.ettoday.net/news/1613309,屁孩狂吸貓哥「腳掌」...牠厭世臉回擊！　身體卻很誠實按住人家
54,寵物動物,,http://pets.ettoday.net/news/1613811,輪流顧馬麻！2柴柴換班「同步伸懶腰」　網笑：開放參觀嗎
55,寵物動物,,http://pets.ettoday.net/news/1613365,我要減肥！肥貓奔馳3秒走下滾輪　倒地躺好「鮪魚肚狂抖」
56,寵物動物,,http://pets.ettoday.net/news/1613501,英鬥聖誕節為給媽驚喜「特製雪花」附甜笑 她看完無言：真貼心
57,寵物動物,,http://pets.ettoday.net/news/1613351,影／敷面膜炸毛瞪大眼！橘喵「內心世界崩塌」來回看3遍：妖..怪？
58,寵物動物,,http://pets.ettoday.net/news/1613618,電視播總統辯論！　胖喵擋螢幕「以為手語小姐在逗貓」興奮狂抓
59,寵物動物,,http://pets.ettoday.net/news/1613524,阿母回家了！萌柴睡夢中爬起「開飛機」　療癒笑容融化5千人
60,寵物動物,,http://pets.ettoday.net/news/1613364,邊境牧羊犬第一次穿鞋「忘了怎麼走路」　舞獅步伐網笑翻！
61,寵物動物,,http://pets.ettoday.net/news/1613311,單獨給把拔照顧...喵皇被惡搞5連拍！　肉泥塞肥肚也叫不醒
62,寵物動物,,http://pets.ettoday.net/news/1613358,胖貓門口可憐討食「骨架跟隔壁強烈對比」　獸醫：別被牠騙了
63,寵物動物,,http://pets.ettoday.net/news/1613795,等待10個月的家飛了...汪遭退養回收容所　落寞自己走進籠舍
64,寵物動物,,http://pets.ettoday.net/news/1613698,喵星人眼神空洞...5秒後「冒出另一顆頭」　網嚇：有點不舒服
65,寵物動物,,http://pets.ettoday.net/news/1613444,3貓遭鎖頂加倉庫狂哭哭　金鐘女主持怒堵飼主…搶救幫找家
66,寵物動物,,http://pets.ettoday.net/news/1613398,影／老鷹捉小雞反遭包圍猛啄　獲救表情「懷疑鳥生」
67,寵物動物,,http://pets.ettoday.net/news/1613037,影／2狗打架分不開　黑狗飼主竟拿長刀與噴火槍對付比特犬
68,寵物動物,,http://pets.ettoday.net/news/1613353,三峽農田放捕獸鋏趕台灣獼猴　2幼仔送醫死亡剩母猴搶救
69,寵物動物,,http://pets.ettoday.net/news/1613442,月台踹導盲犬！黑帽男遭勸阻回嗆「有證據嗎？」　正義女：我還真的有
70,寵物動物,,http://pets.ettoday.net/news/1613551,主子化身「將棋界」老手！　超高妙計驚呆奴才：我認輸
71,寵物動物,,http://pets.ettoday.net/news/1606779,北海道棕熊去年827頭遭捕殺　「三毛別棕熊襲擊事件」又來了？
72,寵物動物,,http://pets.ettoday.net/news/1613961,露牙打呼到忘我！　酣睡汪「被自己嚇醒」憨呆表情超爆笑
73,寵物動物,,http://pets.ettoday.net/news/1613706,貓咪偷球球...店員不驅趕！　將「打造球池」邀浪浪玩耍
74,寵物動物,,http://pets.ettoday.net/news/1613700,倉鼠鬼打牆、喵皇優雅找路　「鏡子迷宮比賽」結局超意外！
75,寵物動物,,http://pets.ettoday.net/news/1613571,歐告「誠懇臉」盯30分求散步　媽無奈喊：外面下雨，看我沒用啊
76,寵物動物,,http://pets.ettoday.net/news/1613309,屁孩狂吸貓哥「腳掌」...牠厭世臉回擊！　身體卻很誠實按住人家
77,寵物動物,,http://pets.ettoday.net/news/1613811,輪流顧馬麻！2柴柴換班「同步伸懶腰」　網笑：開放參觀嗎
78,寵物動物,,http://pets.ettoday.net/news/1613673,泰國侏儒河馬寶寶命名票選　「滷肉」獲65%得票率當選
79,寵物動物,,http://pets.ettoday.net/news/1613795,等待10個月的家飛了...汪遭退養回收容所　落寞自己走進籠舍
80,寵物動物,,http://pets.ettoday.net/news/1613365,我要減肥！肥貓奔馳3秒走下滾輪　倒地躺好「鮪魚肚狂抖」
81,寵物動物,,http://pets.ettoday.net/news/1610094,狗狗常「紅腫抓不停」是獸醫院常客？　試試多補充Omega-6改善皮脂保護力
82,寵物動物,,http://pets.ettoday.net/news/1613501,英鬥聖誕節為給媽驚喜「特製雪花」附甜笑 她看完無言：真貼心
83,寵物動物,,http://pets.ettoday.net/news/1613351,影／敷面膜炸毛瞪大眼！橘喵「內心世界崩塌」來回看3遍：妖..怪？
84,寵物動物,,http://pets.ettoday.net/news/1596097,汪汪爆吼想咬人！「1招」制伏家中小兇犬...安靜放下最有效
85,寵物動物,,http://pets.ettoday.net/news/1613698,喵星人眼神空洞...5秒後「冒出另一顆頭」　網嚇：有點不舒服
86,寵物動物,,http://pets.ettoday.net/news/1613444,3貓遭鎖頂加倉庫狂哭哭　金鐘女主持怒堵飼主…搶救幫找家
87,寵物動物,,http://pets.ettoday.net/news/1613618,電視播總統辯論！　胖喵擋螢幕「以為手語小姐在逗貓」興奮狂抓
88,寵物動物,,http://pets.ettoday.net/news/1613524,阿母回家了！萌柴睡夢中爬起「開飛機」　療癒笑容融化5千人
89,寵物動物,,http://pets.ettoday.net/news/1613364,邊境牧羊犬第一次穿鞋「忘了怎麼走路」　舞獅步伐網笑翻！
